MentionID,Date,SourceID,ThemeID,UserID,Segment,Type,SentimentScore,FrequencyWeight,PhraseText
122,2025-11-23,5,12,USR_0013,Startup PMs,Pain,0.71,1,
123,2024-06-10,3,8,USR_0031,SMB PMs,Dream,-0.01,1,
124,2025-01-30,1,13,USR_0395,Enterprise PMs,Dream,0.47,2,
125,2024-02-21,1,18,USR_0239,SMB PMs,Dream,0.38,1,
126,2025-04-23,2,15,USR_0170,SMB PMs,Dream,0.53,2,
127,2024-10-27,4,13,USR_0411,Enterprise PMs,Phrase,0.55,1,
128,2025-04-15,4,2,USR_0053,Mid-market PMs,Pain,-0.27,1,
129,2024-03-04,5,11,USR_0097,SMB PMs,Pain,0.8,18,CEO without power
130,2024-04-20,2,1,USR_0447,Mid-market PMs,Dream,-0.31,20,
131,2025-08-03,1,2,USR_0418,Enterprise PMs,Dream,-0.62,3,
132,2024-03-25,1,15,USR_0326,Startup PMs,Phrase,0.86,4,
133,2024-09-27,3,16,USR_0257,Mid-market PMs,Phrase,0.73,1,slow down to speed up
134,2024-12-23,1,11,USR_0456,SMB PMs,Dream,0.61,1,
135,2024-09-05,5,16,USR_0265,Mid-market PMs,Pain,0.89,1,
136,2025-02-10,1,8,USR_0093,Startup PMs,Phrase,-0.08,1,
137,2024-08-07,5,5,USR_0042,SMB PMs,Phrase,-0.33,1,
138,2024-11-21,5,2,USR_0314,Mid-market PMs,Dream,-0.08,6,
139,2024-04-26,4,13,USR_0478,SMB PMs,Pain,0.76,4,sandbagging gatekeepers
140,2024-01-16,3,17,USR_0243,Mid-market PMs,Phrase,0.45,3,
141,2024-04-12,1,10,USR_0178,Enterprise PMs,Dream,-0.8,12,impacting users lives
142,2025-03-30,4,18,USR_0117,Startup PMs,Dream,0.64,1,C suite idiots
143,2025-12-29,2,1,USR_0325,Mid-market PMs,Phrase,-0.3,1,slow down to speed up
144,2025-06-17,2,4,USR_0384,Mid-market PMs,Pain,-0.72,1,boulder uphill
145,2024-12-01,4,9,USR_0479,Mid-market PMs,Phrase,-0.13,19,
146,2024-10-23,3,5,USR_0082,SMB PMs,Phrase,-0.02,2,
147,2024-12-27,1,17,USR_0417,Enterprise PMs,Dream,0.26,1,
148,2025-11-12,5,15,USR_0349,Enterprise PMs,Phrase,0.5,1,
149,2025-12-22,2,16,USR_0473,Enterprise PMs,Phrase,0.14,4,CEO without power
150,2025-01-08,5,13,USR_0137,SMB PMs,Pain,0.62,2,C suite idiots
151,2025-05-29,4,13,USR_0231,Startup PMs,Pain,0.57,12,
152,2024-06-20,4,15,USR_0130,SMB PMs,Dream,0.4,1,CEO without power
153,2025-03-29,3,13,USR_0003,Startup PMs,Pain,0.34,1,
154,2025-03-25,3,7,USR_0354,Enterprise PMs,Dream,-0.67,1,boulder uphill
155,2025-05-05,5,8,USR_0098,SMB PMs,Pain,-0.46,1,
156,2025-07-05,2,18,USR_0170,SMB PMs,Pain,0.81,1,
157,2025-06-07,5,10,USR_0220,Startup PMs,Pain,-0.37,4,
158,2024-05-23,5,7,USR_0417,Enterprise PMs,Dream,-0.58,3,
159,2025-03-21,5,6,USR_0462,SMB PMs,Phrase,-0.03,2,
160,2025-08-23,5,9,USR_0394,Startup PMs,Pain,-0.57,1,
161,2025-09-23,3,6,USR_0247,SMB PMs,Phrase,-0.23,1,
162,2025-08-28,4,5,USR_0129,Enterprise PMs,Dream,-0.14,11,CEO without power
163,2024-01-24,3,4,USR_0139,Enterprise PMs,Phrase,-0.01,5,C suite idiots
164,2024-07-10,3,2,USR_0152,Enterprise PMs,Pain,-0.47,1,
165,2025-05-16,2,18,USR_0393,Enterprise PMs,Pain,0.67,2,slow down to speed up
166,2025-06-23,5,17,USR_0127,Startup PMs,Dream,0.33,1,
167,2025-01-27,5,11,USR_0069,Enterprise PMs,Phrase,1.0,3,boulder uphill
168,2025-06-16,2,5,USR_0180,Enterprise PMs,Dream,-0.91,3,CEO without power
169,2024-01-26,1,3,USR_0225,Enterprise PMs,Phrase,0.13,3,
170,2024-07-23,1,15,USR_0438,Startup PMs,Dream,-0.17,4,slow down to speed up
171,2024-09-12,4,9,USR_0488,Enterprise PMs,Dream,-0.53,4,
172,2024-10-06,2,17,USR_0146,Enterprise PMs,Phrase,0.67,6,
173,2024-07-04,5,7,USR_0440,Enterprise PMs,Dream,-0.5,3,
174,2024-03-13,1,17,USR_0019,SMB PMs,Dream,0.78,1,
175,2024-08-05,5,17,USR_0080,Enterprise PMs,Phrase,0.78,1,CEO without power
176,2024-05-13,3,2,USR_0137,SMB PMs,Phrase,-0.31,6,boulder uphill
177,2024-08-13,5,14,USR_0182,Enterprise PMs,Pain,0.71,1,C suite idiots
178,2024-08-19,4,16,USR_0024,Enterprise PMs,Pain,0.49,8,
179,2025-05-22,3,8,USR_0404,Startup PMs,Phrase,-0.35,1,not psychic
180,2025-02-06,4,15,USR_0415,SMB PMs,Pain,1.0,3,C suite idiots
181,2024-08-01,2,6,USR_0279,Startup PMs,Pain,-0.37,3,
182,2025-07-15,2,3,USR_0393,Enterprise PMs,Phrase,-0.1,14,
183,2025-02-15,3,7,USR_0281,Mid-market PMs,Dream,-0.18,1,
184,2025-01-05,3,5,USR_0149,Enterprise PMs,Phrase,-0.16,1,CEO without power
185,2024-04-04,2,6,USR_0214,Enterprise PMs,Phrase,-0.86,6,
186,2024-06-06,1,14,USR_0326,Startup PMs,Dream,0.8,1,slow down to speed up
187,2024-10-16,3,1,USR_0274,Mid-market PMs,Phrase,-0.51,1,
188,2025-12-22,2,8,USR_0106,Enterprise PMs,Pain,-0.32,1,
189,2024-10-19,2,7,USR_0127,Startup PMs,Phrase,-0.23,2,
190,2025-04-30,4,10,USR_0466,Enterprise PMs,Phrase,-0.39,3,boulder uphill
191,2025-04-15,5,7,USR_0366,Enterprise PMs,Pain,-0.96,1,
192,2025-08-12,4,7,USR_0119,Mid-market PMs,Phrase,-0.64,1,
193,2024-01-22,3,5,USR_0105,Mid-market PMs,Phrase,-0.17,1,
194,2024-12-14,1,10,USR_0226,Enterprise PMs,Dream,-0.42,16,
195,2025-05-24,5,17,USR_0382,Startup PMs,Pain,0.45,2,CEO without power
196,2024-07-17,5,18,USR_0281,Mid-market PMs,Dream,0.85,3,
197,2024-05-15,5,8,USR_0034,Mid-market PMs,Pain,-0.7,3,
198,2025-03-19,1,13,USR_0405,Enterprise PMs,Pain,0.46,3,
199,2024-08-20,3,11,USR_0012,Mid-market PMs,Pain,0.54,6,sandbagging gatekeepers
200,2024-12-25,1,4,USR_0253,Mid-market PMs,Phrase,-0.65,5,
201,2024-04-02,3,7,USR_0396,Mid-market PMs,Dream,-0.47,2,
202,2025-02-18,5,18,USR_0284,Enterprise PMs,Dream,0.73,2,CEO without power
203,2025-10-26,5,13,USR_0031,SMB PMs,Dream,0.9,8,CEO without power
204,2025-11-09,5,18,USR_0086,Enterprise PMs,Phrase,0.6,1,
205,2024-05-15,4,10,USR_0381,Enterprise PMs,Pain,-0.22,1,
206,2025-09-08,4,12,USR_0444,Enterprise PMs,Pain,0.69,5,
207,2024-08-11,2,12,USR_0427,SMB PMs,Pain,0.5,2,not psychic
208,2025-02-18,3,10,USR_0184,Mid-market PMs,Dream,-0.62,3,CEO without power
209,2025-11-21,5,18,USR_0162,SMB PMs,Phrase,0.81,10,
210,2024-08-29,2,17,USR_0318,Enterprise PMs,Phrase,1.0,1,
211,2024-02-13,4,17,USR_0315,Startup PMs,Dream,0.59,1,
212,2025-11-02,2,11,USR_0358,SMB PMs,Pain,0.66,3,
213,2024-07-31,3,3,USR_0082,SMB PMs,Phrase,-0.05,2,
214,2025-11-22,3,7,USR_0177,Startup PMs,Pain,-0.47,6,sandbagging gatekeepers
215,2024-08-21,1,7,USR_0225,Enterprise PMs,Pain,-0.44,20,
216,2024-03-20,1,12,USR_0290,SMB PMs,Dream,0.63,4,
217,2024-07-14,3,2,USR_0016,Enterprise PMs,Phrase,-0.24,6,
218,2025-07-26,2,7,USR_0103,Enterprise PMs,Phrase,-0.33,10,
219,2025-07-26,4,7,USR_0457,Enterprise PMs,Phrase,-0.37,3,slow down to speed up
220,2025-12-18,3,17,USR_0439,Startup PMs,Dream,0.39,1,impacting users lives
221,2024-06-01,2,5,USR_0260,Enterprise PMs,Pain,-0.06,4,
222,2024-05-23,4,8,USR_0344,SMB PMs,Dream,0.13,12,
223,2025-08-11,3,14,USR_0152,Enterprise PMs,Pain,0.61,3,
224,2025-02-04,1,11,USR_0185,Enterprise PMs,Phrase,0.34,1,
225,2024-09-05,5,5,USR_0134,Enterprise PMs,Pain,-0.38,5,
226,2024-02-20,5,6,USR_0246,Mid-market PMs,Dream,-0.22,18,impacting users lives
227,2024-05-20,2,9,USR_0314,Mid-market PMs,Dream,-0.42,4,sandbagging gatekeepers
228,2024-02-25,3,15,USR_0109,Enterprise PMs,Phrase,0.41,6,
229,2025-08-22,2,8,USR_0084,Enterprise PMs,Phrase,-0.78,1,slow down to speed up
230,2025-04-15,5,4,USR_0383,SMB PMs,Pain,-0.53,13,
231,2024-09-26,4,5,USR_0203,Enterprise PMs,Dream,-0.31,1,
232,2025-11-28,2,11,USR_0387,Enterprise PMs,Dream,0.84,1,
233,2025-01-05,1,10,USR_0130,SMB PMs,Phrase,-0.13,8,impacting users lives
234,2024-05-25,4,10,USR_0299,SMB PMs,Dream,-0.47,1,slow down to speed up
235,2025-01-05,5,7,USR_0211,SMB PMs,Dream,-0.05,1,
236,2025-05-18,4,5,USR_0132,Enterprise PMs,Pain,-0.31,6,C suite idiots
237,2025-09-28,2,1,USR_0042,SMB PMs,Phrase,-0.64,5,CEO without power
238,2024-03-11,4,9,USR_0390,Startup PMs,Phrase,-0.65,1,slow down to speed up
239,2025-06-03,2,4,USR_0048,SMB PMs,Dream,-0.64,3,
240,2025-06-05,2,7,USR_0466,Enterprise PMs,Dream,-0.02,4,impacting users lives
241,2024-11-12,2,1,USR_0333,Enterprise PMs,Pain,-0.93,1,
242,2024-04-08,5,17,USR_0495,SMB PMs,Pain,0.89,9,
243,2025-07-13,1,2,USR_0293,Startup PMs,Dream,-0.39,13,
244,2024-05-09,2,10,USR_0400,Startup PMs,Dream,-0.57,5,
245,2025-06-03,2,14,USR_0325,Mid-market PMs,Pain,0.5,2,slow down to speed up
246,2025-07-07,4,6,USR_0334,Enterprise PMs,Phrase,-0.45,2,
247,2025-02-17,1,8,USR_0075,Startup PMs,Dream,-0.12,5,CEO without power
248,2025-06-08,1,2,USR_0194,SMB PMs,Pain,-0.27,3,CEO without power
249,2024-04-05,2,5,USR_0105,Mid-market PMs,Phrase,-0.38,1,CEO without power
250,2025-04-08,3,2,USR_0331,Enterprise PMs,Dream,-0.17,13,
251,2025-02-17,1,8,USR_0220,Startup PMs,Phrase,-0.42,4,
252,2025-11-07,3,3,USR_0053,Mid-market PMs,Dream,-0.61,2,
253,2025-10-12,5,9,USR_0004,SMB PMs,Pain,-0.07,5,
254,2025-03-17,4,2,USR_0266,Startup PMs,Pain,-0.15,7,
255,2024-05-31,5,15,USR_0112,Enterprise PMs,Pain,0.43,7,not psychic
256,2025-07-14,3,1,USR_0286,Enterprise PMs,Phrase,-0.21,15,
257,2024-07-17,4,10,USR_0046,Startup PMs,Pain,0.07,9,impacting users lives
258,2025-10-23,4,1,USR_0328,SMB PMs,Pain,-0.15,2,
259,2025-09-19,5,15,USR_0193,Mid-market PMs,Pain,0.54,7,
260,2025-09-16,5,7,USR_0083,Enterprise PMs,Phrase,-0.44,2,
261,2024-05-01,1,7,USR_0410,Enterprise PMs,Phrase,-0.4,10,sandbagging gatekeepers
262,2024-02-20,1,13,USR_0168,Enterprise PMs,Dream,0.25,1,CEO without power
263,2024-05-27,1,13,USR_0364,SMB PMs,Pain,0.5,2,
264,2025-09-19,1,14,USR_0257,Mid-market PMs,Phrase,0.56,5,
265,2024-09-13,2,16,USR_0207,Enterprise PMs,Dream,0.33,2,
266,2024-10-09,2,3,USR_0215,Startup PMs,Dream,-0.64,4,CEO without power
267,2024-04-12,4,15,USR_0269,Enterprise PMs,Pain,0.11,1,
268,2024-12-16,4,10,USR_0319,Enterprise PMs,Phrase,-0.0,1,
269,2024-01-31,2,9,USR_0266,Startup PMs,Dream,-0.23,3,
270,2024-10-25,5,5,USR_0056,Mid-market PMs,Phrase,-0.68,1,
271,2024-08-05,1,16,USR_0278,SMB PMs,Phrase,0.3,1,
272,2024-10-14,2,11,USR_0313,Enterprise PMs,Phrase,0.82,3,
273,2024-04-05,5,1,USR_0288,SMB PMs,Phrase,-0.48,16,
274,2025-04-12,2,6,USR_0026,Startup PMs,Phrase,-0.34,9,
275,2024-07-04,5,13,USR_0299,SMB PMs,Dream,0.53,4,not psychic
276,2024-09-29,4,12,USR_0493,Enterprise PMs,Dream,0.82,4,
277,2025-12-12,3,18,USR_0182,Enterprise PMs,Pain,0.78,6,impacting users lives
278,2024-12-24,2,6,USR_0334,Enterprise PMs,Pain,-0.25,12,impacting users lives
279,2024-10-13,4,7,USR_0472,Mid-market PMs,Phrase,-0.47,1,not psychic
280,2025-08-24,4,9,USR_0234,SMB PMs,Dream,-0.35,1,
281,2025-06-26,4,3,USR_0374,Startup PMs,Phrase,-0.31,2,
282,2024-07-25,2,1,USR_0376,Enterprise PMs,Phrase,-0.19,1,
283,2025-09-14,2,16,USR_0021,SMB PMs,Dream,0.62,1,sandbagging gatekeepers
284,2025-11-17,3,18,USR_0500,Mid-market PMs,Dream,0.05,1,
285,2025-12-14,2,17,USR_0414,SMB PMs,Pain,0.54,1,
286,2024-02-17,1,15,USR_0056,Mid-market PMs,Dream,0.66,5,
287,2025-11-02,2,10,USR_0131,SMB PMs,Pain,-0.41,2,
288,2025-03-09,3,11,USR_0057,Enterprise PMs,Pain,0.29,1,
289,2025-09-28,2,1,USR_0088,SMB PMs,Phrase,-0.79,6,CEO without power
290,2024-02-01,1,13,USR_0227,Mid-market PMs,Dream,1.0,2,
291,2024-04-21,4,4,USR_0438,Startup PMs,Pain,-0.43,3,impacting users lives
292,2025-09-16,3,4,USR_0336,Enterprise PMs,Phrase,0.09,3,slow down to speed up
293,2025-10-29,1,12,USR_0356,SMB PMs,Pain,0.29,3,slow down to speed up
294,2024-03-12,3,10,USR_0205,SMB PMs,Phrase,-0.51,1,CEO without power
295,2025-09-07,2,2,USR_0178,Enterprise PMs,Dream,-0.77,11,boulder uphill
296,2025-12-18,4,11,USR_0464,SMB PMs,Dream,0.8,1,
297,2024-08-22,4,4,USR_0259,SMB PMs,Pain,-0.76,2,sandbagging gatekeepers
298,2024-10-26,2,8,USR_0463,Startup PMs,Pain,0.07,5,
299,2025-08-13,1,12,USR_0451,Startup PMs,Phrase,0.36,1,
300,2024-10-11,1,1,USR_0100,Enterprise PMs,Phrase,-0.32,1,slow down to speed up
301,2024-10-03,5,11,USR_0223,Enterprise PMs,Phrase,0.38,2,
302,2025-03-24,4,14,USR_0433,SMB PMs,Pain,0.69,1,
303,2025-11-03,5,5,USR_0198,Mid-market PMs,Dream,-0.13,1,boulder uphill
304,2025-02-15,3,13,USR_0480,SMB PMs,Pain,0.5,1,
305,2025-12-01,4,18,USR_0096,SMB PMs,Dream,0.5,3,
306,2025-07-19,2,1,USR_0289,Enterprise PMs,Dream,-0.54,3,
307,2025-10-04,4,9,USR_0106,Enterprise PMs,Dream,-0.56,4,
308,2025-12-11,5,15,USR_0406,Mid-market PMs,Dream,0.91,3,
309,2025-05-04,1,10,USR_0221,Startup PMs,Dream,-0.4,1,
310,2024-09-20,1,5,USR_0493,Enterprise PMs,Dream,-0.28,1,
311,2024-01-11,1,6,USR_0188,SMB PMs,Dream,0.09,1,
312,2025-09-28,3,16,USR_0059,Enterprise PMs,Pain,0.85,1,boulder uphill
313,2024-05-02,1,1,USR_0204,Mid-market PMs,Phrase,-0.1,1,
314,2025-01-21,2,5,USR_0183,Mid-market PMs,Dream,-0.65,4,
315,2025-10-08,3,16,USR_0345,Enterprise PMs,Pain,0.73,5,
316,2025-11-26,5,12,USR_0169,Enterprise PMs,Pain,0.39,3,
317,2024-02-25,2,14,USR_0067,Enterprise PMs,Phrase,0.92,5,
318,2024-08-16,5,17,USR_0215,Startup PMs,Dream,0.49,1,
319,2024-04-04,5,9,USR_0379,Startup PMs,Phrase,-0.16,9,
320,2024-07-31,2,10,USR_0400,Startup PMs,Phrase,-0.04,1,
321,2025-05-02,3,3,USR_0455,Enterprise PMs,Dream,-0.03,6,
322,2024-05-26,3,4,USR_0299,SMB PMs,Phrase,0.13,13,
323,2025-03-27,4,15,USR_0054,Mid-market PMs,Phrase,0.93,4,
324,2025-05-17,4,14,USR_0310,Enterprise PMs,Dream,0.44,1,
325,2024-01-22,5,2,USR_0040,SMB PMs,Pain,-0.37,1,
326,2025-04-13,2,8,USR_0270,Enterprise PMs,Dream,-0.49,1,
327,2025-05-06,5,2,USR_0298,Enterprise PMs,Dream,-0.64,5,not psychic
328,2025-04-14,1,18,USR_0070,Mid-market PMs,Pain,0.71,2,boulder uphill
329,2025-07-20,3,13,USR_0303,SMB PMs,Pain,0.5,5,impacting users lives
330,2025-11-15,5,10,USR_0066,SMB PMs,Phrase,-0.92,5,impacting users lives
331,2025-06-16,1,1,USR_0260,Enterprise PMs,Dream,-0.24,1,slow down to speed up
332,2025-04-25,5,9,USR_0234,SMB PMs,Pain,-0.36,1,not psychic
333,2025-01-11,1,18,USR_0225,Enterprise PMs,Phrase,0.06,2,
334,2025-08-05,2,3,USR_0350,SMB PMs,Pain,-0.56,13,C suite idiots
335,2024-06-14,5,15,USR_0001,Enterprise PMs,Pain,0.57,1,sandbagging gatekeepers
336,2025-09-14,5,16,USR_0146,Enterprise PMs,Dream,0.91,1,boulder uphill
337,2025-12-06,2,16,USR_0183,Mid-market PMs,Dream,0.47,1,CEO without power
338,2025-10-07,4,12,USR_0202,Enterprise PMs,Pain,0.51,1,
