RevenueID,Date,UserID,MRRAmount,GrowthMoM
61,2024-08-16,USR_0215,2196.57,0.0748
62,2024-07-31,USR_0400,114.16,0.036
63,2024-05-26,USR_0299,2111.28,0.0099
64,2024-01-22,USR_0040,702.6,0.0751
65,2025-10-07,USR_0202,51.26,0.1188
66,2024-07-25,USR_0367,840.41,0.0294
67,2025-05-24,USR_0475,2029.32,0.0396
68,2024-12-27,USR_0438,1667.13,0.0315
69,2024-02-11,USR_0444,926.09,0.0444
70,2024-12-06,USR_0304,72.94,0.0685
71,2024-08-14,USR_0077,2340.37,0.0201
72,2025-04-28,USR_0077,400.81,0.0381
73,2025-10-09,USR_0082,625.29,0.0601
74,2024-03-17,USR_0024,130.7,0.0593
75,2024-05-28,USR_0143,886.71,0.0567
76,2025-12-09,USR_0007,653.56,0.0506
77,2024-11-15,USR_0184,151.45,0.0597
78,2024-08-01,USR_0461,2689.53,0.1008
79,2025-06-14,USR_0233,350.39,0.1061
80,2025-04-19,USR_0372,2231.53,0.0678
81,2024-05-13,USR_0254,2785.18,-0.0318
82,2024-11-01,USR_0264,542.97,0.0606
83,2025-05-06,USR_0135,1791.96,0.0277
84,2024-01-26,USR_0317,447.03,0.039
85,2025-10-01,USR_0277,783.97,0.0466
86,2025-11-16,USR_0351,700.26,0.06
87,2024-01-10,USR_0413,3449.58,0.0622
88,2024-12-02,USR_0027,2270.54,0.008
89,2024-08-08,USR_0386,2060.42,0.0612
90,2024-02-18,USR_0167,392.96,-0.0173
91,2024-04-16,USR_0263,3666.45,0.0507
92,2024-12-18,USR_0176,709.52,0.0038
93,2025-12-28,USR_0426,115.82,0.0711
94,2024-05-26,USR_0398,58.7,0.0314
95,2025-05-18,USR_0224,5749.65,0.099
96,2024-10-03,USR_0353,959.87,0.0595
97,2025-01-30,USR_0339,2539.93,0.0746
98,2024-01-09,USR_0412,2895.98,0.1025
99,2024-12-31,USR_0356,133.97,0.0507
100,2025-03-04,USR_0500,3312.32,0.0843
101,2025-05-04,USR_0382,1095.92,0.0323
102,2024-02-17,USR_0366,402.16,0.0633
103,2024-12-05,USR_0352,278.8,-0.0014
104,2025-05-12,USR_0263,1418.27,0.0737
105,2025-01-20,USR_0014,616.6,0.0658
106,2024-03-27,USR_0146,734.31,-0.0168
107,2024-12-13,USR_0357,906.1,0.0693
108,2024-10-15,USR_0453,654.49,0.041
109,2024-09-23,USR_0239,1621.54,0.0318
110,2024-09-17,USR_0430,9711.95,0.0731
111,2024-06-04,USR_0200,1019.69,0.0416
112,2025-10-29,USR_0418,656.48,0.0418
113,2024-11-05,USR_0426,1986.2,0.0928
114,2025-03-24,USR_0026,1975.82,0.0075
115,2024-03-22,USR_0258,618.39,0.0044
116,2025-10-10,USR_0117,1215.88,0.036
117,2025-07-20,USR_0037,488.84,0.0582
118,2024-01-18,USR_0247,1128.53,0.0263
119,2024-07-09,USR_0216,2278.84,0.0417
120,2025-11-16,USR_0422,298.15,0.0354
121,2025-02-19,USR_0335,660.77,0.0683
122,2025-09-28,USR_0361,2610.12,0.0232
123,2025-12-05,USR_0168,2470.73,0.0723
124,2024-01-16,USR_0203,47.91,0.0479
125,2024-01-12,USR_0135,1628.5,0.0387
126,2024-09-29,USR_0483,1411.67,0.0068
127,2024-03-07,USR_0362,2176.63,0.0575
128,2024-06-08,USR_0021,401.23,0.0688
129,2024-10-19,USR_0275,2765.62,0.0693
130,2024-08-19,USR_0065,1421.35,0.0124
131,2025-04-07,USR_0375,4618.37,0.0993
132,2024-06-15,USR_0192,917.49,0.0645
133,2024-09-29,USR_0371,3465.77,0.0258
134,2024-07-29,USR_0255,3565.01,0.0457
135,2024-07-10,USR_0239,119.1,-0.0004
136,2025-07-07,USR_0039,1982.7,0.0607
137,2025-10-19,USR_0005,79.75,0.0145
138,2024-07-27,USR_0367,512.02,0.0373
139,2025-03-10,USR_0249,1466.62,0.0084
140,2024-01-26,USR_0421,774.11,0.0717
141,2024-03-17,USR_0466,2992.3,0.0004
142,2025-08-02,USR_0271,4533.21,0.005
143,2024-10-15,USR_0145,2880.91,0.1363
144,2025-09-26,USR_0065,3155.7,0.0936
145,2025-09-24,USR_0470,712.08,0.0708
146,2024-10-19,USR_0002,2672.91,0.0405
147,2024-09-16,USR_0286,672.77,0.0496
148,2025-11-05,USR_0347,1041.71,0.1081
149,2024-02-02,USR_0436,1131.86,0.0454
150,2024-07-09,USR_0152,287.04,0.0565
151,2024-06-16,USR_0365,46.15,0.021
152,2025-12-07,USR_0439,139.14,0.0554
153,2024-01-10,USR_0394,1476.56,0.0634
154,2025-12-30,USR_0298,776.16,0.0304
155,2025-03-17,USR_0383,565.05,0.1127
156,2025-12-22,USR_0212,5449.33,0.055
157,2025-02-26,USR_0403,301.61,0.041
158,2024-06-04,USR_0342,795.37,0.0731
159,2024-03-10,USR_0060,469.89,0.0844
160,2025-05-12,USR_0346,1148.12,0.033
161,2025-07-15,USR_0471,209.59,0.0126
162,2024-03-22,USR_0091,116.26,0.0832
163,2025-08-26,USR_0103,1885.79,0.0229
164,2024-02-27,USR_0266,20.22,0.0591
165,2025-10-20,USR_0238,1383.4,0.0802
166,2024-03-02,USR_0250,159.05,0.0784
167,2024-03-20,USR_0310,1772.21,0.0281
168,2024-12-24,USR_0399,1194.78,0.1017
169,2024-12-31,USR_0098,50.33,0.0719
170,2025-12-05,USR_0139,923.82,0.036
171,2025-10-23,USR_0044,98.25,0.0059
172,2025-12-03,USR_0205,627.71,0.0639
173,2025-01-31,USR_0274,314.34,0.0256
174,2024-09-24,USR_0495,953.32,-0.0124
175,2024-12-31,USR_0145,1302.77,0.0556
176,2024-03-23,USR_0234,83.2,0.0941
177,2025-11-21,USR_0204,265.72,0.0667
178,2025-03-31,USR_0162,613.01,0.0907
179,2025-10-08,USR_0096,3721.33,0.0412
180,2024-05-05,USR_0064,2285.44,0.0077
181,2024-03-03,USR_0452,250.02,0.053
182,2025-08-05,USR_0209,1627.38,0.0606
183,2024-11-29,USR_0481,935.31,0.0008
184,2024-10-03,USR_0202,2300.02,0.0464
185,2025-12-17,USR_0094,1324.38,0.0521
186,2025-03-15,USR_0169,1902.14,0.0242
187,2025-04-25,USR_0416,1224.68,0.04
188,2025-03-11,USR_0042,1501.87,0.0363
189,2024-01-12,USR_0070,1720.91,0.0836
190,2024-02-22,USR_0212,451.08,0.0377
191,2025-04-09,USR_0180,1632.12,0.0344
192,2024-10-03,USR_0435,592.34,0.0348
193,2024-08-04,USR_0453,1769.01,0.0604
194,2025-08-23,USR_0408,31.9,-0.0106
195,2025-03-03,USR_0119,2813.27,0.0772
196,2025-11-26,USR_0145,1780.21,0.0319
197,2024-02-21,USR_0264,711.21,0.0215
198,2025-09-13,USR_0385,967.77,0.0311
199,2024-09-19,USR_0394,159.48,0.0551
200,2024-05-12,USR_0295,2404.85,0.0413
201,2024-07-11,USR_0056,674.48,0.1011
202,2025-06-14,USR_0379,1237.28,0.1261
203,2024-04-20,USR_0276,1473.69,0.0385
204,2025-10-15,USR_0125,656.46,0.098
205,2024-06-14,USR_0366,1984.2,0.0288
206,2025-11-19,USR_0061,1283.28,0.0593
207,2024-08-26,USR_0305,683.4,0.0224
208,2024-07-02,USR_0276,839.62,0.06
209,2024-06-07,USR_0014,5400.95,0.0538
210,2024-08-04,USR_0143,511.23,0.0691
211,2025-07-30,USR_0125,538.2,0.0687
212,2025-05-08,USR_0341,1654.97,0.0585
213,2025-08-16,USR_0246,1371.81,0.0666
214,2025-07-14,USR_0331,2699.6,0.0247
215,2024-02-26,USR_0335,365.63,0.0362
216,2024-03-09,USR_0017,3082.04,0.0737
217,2025-03-10,USR_0390,1154.73,0.0017
218,2025-10-16,USR_0242,2190.0,0.071
219,2025-05-09,USR_0317,988.12,-0.0241
220,2024-04-16,USR_0463,560.61,0.0129
221,2024-02-08,USR_0425,667.3,0.0561
222,2024-07-16,USR_0093,321.87,0.0069
223,2024-11-30,USR_0478,1966.05,0.0369
224,2025-01-02,USR_0207,2169.22,0.0852
225,2025-09-01,USR_0366,207.84,0.0677
226,2024-07-25,USR_0250,1074.92,0.029
227,2024-08-28,USR_0080,3313.58,0.0638
228,2024-07-08,USR_0048,2087.82,0.0526
229,2024-01-21,USR_0419,1213.9,0.0208
230,2024-12-26,USR_0030,436.99,0.0817
231,2024-07-11,USR_0443,416.78,0.0784
232,2024-03-22,USR_0033,703.52,0.0451
233,2025-08-21,USR_0003,299.62,0.0361
234,2024-10-24,USR_0282,1266.36,0.069
235,2024-10-06,USR_0481,1222.77,0.0679
236,2025-02-25,USR_0190,1227.86,0.076
237,2024-07-21,USR_0429,936.56,0.0831
238,2024-05-13,USR_0166,490.86,0.0404
239,2024-12-12,USR_0134,2416.57,0.0181
240,2025-06-21,USR_0336,418.43,0.0312
241,2024-04-14,USR_0281,2254.84,0.1306
242,2024-02-09,USR_0078,107.06,0.0601
243,2025-11-07,USR_0337,700.18,0.0331
244,2025-07-07,USR_0070,501.87,0.0672
245,2025-11-23,USR_0294,858.2,0.0258
246,2024-09-12,USR_0007,1064.01,0.113
247,2024-03-08,USR_0050,1704.23,0.0842
248,2025-04-14,USR_0291,550.56,0.0762
249,2025-12-06,USR_0239,1207.35,0.0044
250,2025-06-16,USR_0237,733.66,0.0184
251,2024-10-26,USR_0241,927.59,0.0782
252,2025-06-18,USR_0366,1273.36,0.0309
253,2024-10-16,USR_0292,964.78,0.0299
254,2025-11-02,USR_0114,361.57,0.0444
255,2024-12-23,USR_0270,554.52,0.0705
256,2025-07-25,USR_0391,1222.79,0.0673
257,2025-06-09,USR_0383,961.93,0.097
258,2025-05-18,USR_0248,2979.72,0.0103
259,2025-04-06,USR_0293,103.35,0.0422
260,2024-03-18,USR_0321,3435.83,0.0649
261,2024-12-13,USR_0410,755.93,0.0293
262,2025-01-01,USR_0391,3282.1,-0.0009
263,2024-04-20,USR_0177,2937.41,0.0196
264,2024-12-26,USR_0110,685.65,0.0356
265,2025-02-24,USR_0249,2942.29,0.0854
266,2025-12-28,USR_0056,1458.29,0.0578
267,2025-10-16,USR_0339,548.07,0.0494
268,2025-12-08,USR_0089,4264.73,0.0772
269,2025-11-02,USR_0454,2171.25,0.0307
270,2024-12-12,USR_0084,1759.4,0.1088
271,2025-02-05,USR_0078,110.96,0.0813
272,2024-08-01,USR_0031,1121.79,0.0186
273,2024-11-09,USR_0357,2799.53,0.0758
274,2025-01-26,USR_0473,2816.43,0.0737
275,2024-09-28,USR_0452,1540.84,0.0945
276,2025-08-12,USR_0080,1900.86,0.0579
277,2024-11-22,USR_0490,272.62,0.0699
278,2024-01-27,USR_0009,106.31,0.0392
279,2025-03-27,USR_0340,3719.6,-0.0202
280,2025-07-19,USR_0436,2773.59,0.0039
281,2024-04-19,USR_0438,1036.59,0.0048
282,2025-05-26,USR_0303,824.15,0.0437
283,2024-02-04,USR_0119,7157.75,0.0808
284,2024-12-04,USR_0132,2291.63,0.0427
285,2025-04-29,USR_0124,113.74,0.0817
286,2025-05-31,USR_0297,2965.67,0.0512
287,2025-06-19,USR_0252,979.87,0.0383
288,2024-02-20,USR_0011,2143.92,0.0502
289,2025-02-01,USR_0319,1595.84,0.0575
290,2024-08-07,USR_0342,510.49,0.0564
291,2024-10-28,USR_0374,1009.44,0.0387
292,2025-11-12,USR_0172,27.64,0.0249
293,2024-08-02,USR_0469,1022.29,0.0605
294,2024-05-02,USR_0491,1625.8,0.0627
295,2024-07-28,USR_0218,166.33,0.054
296,2025-05-17,USR_0257,3055.02,0.0763
297,2024-09-17,USR_0012,6036.03,0.0621
298,2025-10-27,USR_0498,549.41,0.0641
299,2025-02-17,USR_0457,2623.94,0.0236
300,2024-04-14,USR_0390,1122.12,0.0381
301,2024-08-24,USR_0280,662.89,-0.0073
302,2025-04-02,USR_0085,1113.17,0.0026
303,2024-07-21,USR_0248,89.04,0.0336
304,2024-08-12,USR_0103,1370.76,0.1017
305,2025-03-20,USR_0084,1407.35,0.1054
306,2025-09-04,USR_0472,1267.02,0.0437
307,2025-04-19,USR_0194,729.49,0.0459
308,2024-07-27,USR_0433,1350.95,0.0242
309,2025-08-07,USR_0355,746.36,0.0576
310,2025-09-01,USR_0442,3574.95,0.057
311,2025-08-09,USR_0342,315.59,0.0602
312,2024-03-13,USR_0096,1665.13,0.0442
313,2024-09-01,USR_0246,4912.86,0.0428
314,2024-10-13,USR_0489,4997.66,0.0772
315,2024-11-05,USR_0084,1135.94,0.0125
316,2025-12-18,USR_0382,373.87,0.0709
317,2024-12-25,USR_0461,400.34,0.0005
318,2024-11-06,USR_0482,1930.4,0.0365
319,2024-08-16,USR_0306,296.65,0.0377
320,2025-01-28,USR_0181,522.2,0.0064
321,2024-05-03,USR_0290,450.1,0.0788
322,2025-10-07,USR_0245,107.07,0.0858
323,2024-08-14,USR_0189,2016.03,0.0315
324,2024-10-23,USR_0178,1192.59,-0.0309
325,2025-05-03,USR_0182,4823.53,0.034
326,2025-02-11,USR_0446,149.96,0.0494
327,2024-07-29,USR_0220,1242.79,0.0391
328,2024-07-09,USR_0373,30.1,0.1005
329,2024-07-29,USR_0195,345.66,0.0561
330,2024-04-23,USR_0033,3342.72,0.0337
331,2025-06-14,USR_0332,3413.32,0.1024
332,2025-03-27,USR_0314,1780.9,0.0567
333,2024-07-29,USR_0241,1179.54,0.0018
334,2024-11-10,USR_0455,996.13,0.0583
335,2024-07-07,USR_0460,5862.53,0.0526
336,2024-01-02,USR_0223,3719.23,0.0353
337,2025-10-10,USR_0016,386.99,0.0579
338,2024-12-01,USR_0362,681.28,0.011
339,2024-08-13,USR_0108,4216.58,0.0353
340,2025-03-28,USR_0466,901.0,0.0632
341,2024-08-08,USR_0184,4284.33,0.0228
342,2024-07-06,USR_0374,810.5,0.0251
343,2025-03-09,USR_0373,1170.89,0.0631
344,2025-03-26,USR_0329,2359.42,0.0394
345,2025-05-20,USR_0308,209.0,0.1047
346,2024-01-23,USR_0308,913.73,0.0786
347,2024-04-04,USR_0069,4521.95,0.0527
348,2025-07-24,USR_0351,687.49,0.0631
349,2024-01-24,USR_0093,3773.14,0.0418
350,2024-07-09,USR_0447,1537.52,-0.0017
351,2024-06-27,USR_0183,729.16,0.0921
352,2025-07-09,USR_0347,1470.36,0.0383
353,2024-08-31,USR_0453,1.71,0.0055
354,2024-12-08,USR_0044,51.92,0.0677
355,2024-09-13,USR_0047,1381.45,0.0331
356,2025-12-06,USR_0437,1092.07,0.0938
357,2025-06-23,USR_0067,1669.62,0.0604
358,2024-01-21,USR_0219,834.34,0.0317
359,2024-02-01,USR_0480,761.99,0.0417
360,2025-06-20,USR_0410,1323.69,0.0477
361,2024-03-17,USR_0390,1028.43,0.0516
362,2024-10-21,USR_0144,2402.45,0.0362
363,2024-03-13,USR_0243,332.18,0.0473
364,2024-01-14,USR_0416,13.0,0.0553
365,2025-06-19,USR_0181,487.63,0.023
366,2024-09-03,USR_0329,35.95,0.0429
367,2025-06-11,USR_0102,2639.32,0.0064
368,2024-05-14,USR_0269,2076.03,0.0448
369,2024-08-30,USR_0379,705.13,0.0208
370,2024-04-26,USR_0457,1342.44,0.097
371,2025-07-26,USR_0221,155.12,0.0477
372,2024-11-01,USR_0469,781.35,0.0516
373,2025-09-03,USR_0389,941.5,0.0389
374,2025-12-09,USR_0437,3568.21,0.0681
375,2025-09-20,USR_0012,569.39,0.0646
376,2025-04-09,USR_0182,4767.55,0.0509
377,2024-05-19,USR_0142,3998.97,0.0814
378,2025-09-26,USR_0064,3749.19,0.0388
379,2024-10-11,USR_0154,200.15,0.0542
380,2025-11-16,USR_0152,745.83,0.0421
381,2024-03-27,USR_0104,1256.62,0.0579
382,2024-03-18,USR_0326,1213.8,0.0257
383,2024-06-14,USR_0180,677.95,0.0431
384,2024-12-15,USR_0171,367.95,0.0037
385,2024-01-14,USR_0360,1630.49,0.0216
386,2024-09-28,USR_0409,893.38,0.0671
387,2025-07-21,USR_0489,633.11,0.0422
388,2024-05-01,USR_0266,168.4,0.0468
389,2024-02-07,USR_0165,141.25,0.0112
390,2025-11-09,USR_0184,547.65,0.064
391,2024-06-08,USR_0017,2694.61,0.0785
392,2024-03-15,USR_0335,392.15,0.1001
393,2024-12-27,USR_0169,809.37,0.015
394,2024-11-24,USR_0378,293.38,0.0672
395,2024-03-16,USR_0299,1525.56,0.0394
396,2024-02-04,USR_0025,765.07,0.0614
397,2025-05-12,USR_0148,852.7,0.0831
398,2024-12-26,USR_0356,3374.14,0.0658
399,2025-01-05,USR_0305,319.41,0.0774
400,2024-06-26,USR_0044,1282.12,0.0591
401,2024-04-09,USR_0418,2149.57,0.1056
402,2024-03-13,USR_0478,439.31,0.0342
403,2025-02-25,USR_0427,1731.14,0.0546
404,2025-02-24,USR_0334,1312.78,0.0019
405,2025-04-17,USR_0108,485.35,0.0104
406,2024-03-25,USR_0077,909.72,0.0519
407,2025-04-09,USR_0093,1089.19,0.0122
408,2024-11-27,USR_0320,7490.49,0.033
409,2025-12-11,USR_0444,913.36,-0.0086
410,2025-03-03,USR_0085,2046.01,0.07
411,2025-02-02,USR_0354,795.55,0.02
412,2025-10-28,USR_0455,1433.26,0.0634
413,2025-10-27,USR_0323,3596.97,0.0338
414,2025-06-27,USR_0394,1085.54,0.0758
415,2025-05-16,USR_0352,1450.06,0.0655
416,2024-05-09,USR_0189,228.6,0.0654
417,2024-07-12,USR_0407,2209.93,0.0829
418,2024-06-16,USR_0156,7405.84,0.0297
419,2024-11-29,USR_0375,153.94,0.074
420,2025-05-13,USR_0168,310.11,0.0406
421,2025-03-29,USR_0377,2663.85,-0.0187
422,2025-05-12,USR_0194,541.5,0.0032
423,2025-03-10,USR_0106,751.75,0.066
424,2024-11-09,USR_0050,2488.27,0.0291
425,2025-03-05,USR_0214,508.94,-0.002
426,2024-07-23,USR_0073,538.26,0.0269
427,2025-11-28,USR_0312,368.71,0.0998
428,2025-08-04,USR_0400,884.92,0.0404
429,2024-06-04,USR_0330,1560.55,0.0424
430,2025-12-16,USR_0295,1082.73,-0.0173
431,2024-02-16,USR_0319,81.87,0.038
432,2025-09-24,USR_0181,499.99,0.0443
433,2025-07-27,USR_0461,1239.4,0.0756
434,2025-03-26,USR_0288,1919.89,0.076
435,2025-05-01,USR_0378,2460.87,0.1258
436,2024-11-01,USR_0479,88.13,0.0421
437,2025-08-11,USR_0184,1832.25,0.0235
438,2024-03-13,USR_0471,1015.59,-0.0103
439,2024-11-30,USR_0021,2794.45,0.0452
440,2024-11-27,USR_0486,614.12,0.0294
441,2025-07-06,USR_0337,149.03,0.0598
442,2024-12-11,USR_0026,1086.76,0.0477
443,2025-07-26,USR_0268,1562.64,0.0598
444,2024-03-15,USR_0424,802.99,0.0673
445,2025-04-12,USR_0447,268.97,0.0595
446,2024-11-23,USR_0395,1833.29,0.004
447,2025-11-04,USR_0442,1520.39,0.0483
448,2024-10-29,USR_0065,54.12,0.0237
449,2025-07-18,USR_0375,454.73,0.0957
450,2024-03-08,USR_0113,995.54,0.0382
451,2024-07-06,USR_0162,497.78,0.0125
452,2024-03-02,USR_0376,2964.87,0.0784
453,2025-09-10,USR_0473,1332.8,0.0421
454,2025-09-09,USR_0392,4109.13,0.0319
455,2024-10-07,USR_0119,932.11,0.0633
456,2025-12-19,USR_0329,2087.71,0.0765
457,2025-03-30,USR_0392,473.81,0.0257
458,2025-02-14,USR_0152,956.88,0.0216
459,2024-05-27,USR_0018,1871.3,0.0028
460,2024-09-12,USR_0248,1979.65,0.0235
461,2024-07-04,USR_0497,654.27,0.0245
462,2025-07-31,USR_0154,2542.83,0.0377
463,2024-08-08,USR_0445,295.85,0.0451
464,2024-06-17,USR_0391,2298.44,0.0641
465,2025-01-26,USR_0021,3177.93,0.0974
466,2025-09-12,USR_0027,420.62,0.1058
467,2025-03-21,USR_0105,5072.19,0.0349
468,2024-01-28,USR_0499,1738.5,0.0348
469,2025-03-30,USR_0014,840.51,0.0206
470,2024-10-22,USR_0078,2439.18,-0.0158
471,2024-05-22,USR_0014,1088.64,0.0692
472,2025-10-18,USR_0319,2678.21,0.0415
473,2024-07-28,USR_0360,4783.14,0.1089
474,2024-03-21,USR_0309,2691.03,0.0723
475,2024-02-07,USR_0414,159.88,0.0522
476,2025-01-16,USR_0277,2428.23,0.085
477,2025-01-05,USR_0194,199.08,0.088
478,2025-05-28,USR_0184,2947.91,0.0811
479,2025-06-07,USR_0009,3080.54,0.0516
480,2024-04-04,USR_0473,3304.64,0.0054
481,2024-01-13,USR_0412,682.71,0.01
482,2025-07-01,USR_0048,856.77,0.0674
483,2025-06-23,USR_0342,1819.47,-0.0217
484,2025-04-18,USR_0145,10687.9,0.0174
485,2024-02-10,USR_0039,942.86,0.0646
486,2024-12-23,USR_0383,690.49,0.0725
487,2024-06-18,USR_0284,45.32,0.0532
488,2024-07-03,USR_0168,1431.46,0.0443
489,2024-10-12,USR_0320,1147.31,0.0833
490,2025-07-08,USR_0369,574.14,0.0492
491,2025-07-29,USR_0211,1687.58,0.1179
492,2024-03-01,USR_0237,266.16,-0.0123
493,2025-05-06,USR_0238,1142.54,0.0484
494,2024-01-09,USR_0464,185.98,0.0276
495,2025-01-16,USR_0443,1921.17,0.0193
496,2024-04-13,USR_0269,2767.91,0.0488
497,2025-12-04,USR_0439,870.14,0.0239
498,2024-06-01,USR_0045,830.83,0.0209
499,2024-12-10,USR_0017,1832.36,0.0736
500,2025-10-02,USR_0497,62.29,0.0309
501,2025-03-16,USR_0222,307.07,0.0863
502,2025-09-10,USR_0435,863.23,0.0526
503,2024-02-17,USR_0253,1374.97,0.1065
504,2024-09-15,USR_0210,759.89,0.1152
505,2024-04-05,USR_0375,179.46,0.0647
506,2025-10-14,USR_0095,3853.91,0.043
507,2024-08-21,USR_0126,1587.67,0.0524
508,2024-03-21,USR_0491,2103.79,0.0383
509,2024-02-05,USR_0240,1871.24,0.0304
510,2024-04-29,USR_0158,95.76,0.0361
511,2025-06-11,USR_0104,632.21,0.0775
512,2025-05-22,USR_0404,155.4,0.1063
513,2024-05-04,USR_0484,935.41,0.0449
514,2024-07-25,USR_0218,1278.45,0.0451
515,2025-06-24,USR_0096,545.83,0.0663
516,2024-07-08,USR_0264,2282.68,0.018
517,2024-04-06,USR_0063,39.07,0.0234
518,2024-04-20,USR_0041,394.67,0.0333
519,2025-09-12,USR_0481,1404.94,0.0274
520,2024-05-03,USR_0324,1827.67,0.0566
521,2025-08-09,USR_0358,1099.54,0.0227
522,2024-09-14,USR_0375,4842.43,0.0611
523,2025-04-25,USR_0136,4514.31,0.0498
524,2024-11-24,USR_0126,679.59,0.0133
525,2024-09-08,USR_0180,1130.62,0.072
526,2024-01-31,USR_0329,3891.99,0.0535
527,2024-02-19,USR_0490,64.27,0.0526
528,2024-06-28,USR_0414,388.23,0.0833
529,2024-05-08,USR_0347,1728.17,0.0207
530,2024-01-02,USR_0297,3822.03,0.0576
531,2025-01-22,USR_0431,519.11,0.03
532,2025-03-21,USR_0326,3026.03,0.0517
533,2024-03-05,USR_0223,808.5,0.1079
534,2025-05-08,USR_0118,2212.95,0.0635
535,2025-01-23,USR_0425,4027.4,0.0409
536,2024-06-03,USR_0337,369.37,0.0546
537,2024-05-30,USR_0074,152.73,0.0652
538,2025-01-23,USR_0396,1062.82,0.0615
539,2025-07-07,USR_0009,2051.27,0.0336
540,2024-02-13,USR_0039,1976.85,0.0327
541,2025-08-06,USR_0385,109.25,0.0242
542,2025-02-21,USR_0045,2841.22,0.1117
543,2024-10-28,USR_0380,784.7,0.0841
544,2024-12-25,USR_0190,187.65,0.1014
545,2025-04-13,USR_0413,480.59,0.0244
546,2024-04-08,USR_0324,868.69,0.043
547,2025-06-04,USR_0309,1896.47,0.0224
548,2025-05-30,USR_0294,1086.05,0.032
549,2024-04-28,USR_0103,709.11,0.0059
550,2025-04-02,USR_0205,2189.96,-0.008
551,2025-08-02,USR_0088,1150.69,0.0258
552,2025-06-13,USR_0120,351.57,0.0662
553,2025-05-18,USR_0429,4413.94,0.0604
554,2025-02-14,USR_0471,603.51,0.0271
555,2025-01-03,USR_0105,418.61,0.0868
556,2025-10-12,USR_0171,773.84,0.1174
557,2025-04-23,USR_0100,234.32,0.0463
558,2024-04-12,USR_0280,1802.63,0.0014
559,2025-08-30,USR_0404,2185.17,-0.0448
560,2025-05-13,USR_0160,34.05,0.0528
561,2025-02-26,USR_0486,489.31,0.0409
562,2024-12-19,USR_0217,1605.55,0.0685
563,2025-12-27,USR_0243,4181.48,0.0537
564,2025-01-04,USR_0377,123.34,0.0362
565,2024-09-02,USR_0293,1766.73,-0.0011
566,2025-05-18,USR_0487,2245.58,0.0668
567,2025-06-17,USR_0372,4282.64,0.0306
568,2025-10-05,USR_0089,3036.39,0.0439
569,2025-01-26,USR_0373,1693.87,0.0618
