UserID,Segment,CompanySize,PMExperienceYears,ChurnRiskScore
USR_0180,Enterprise PMs,1000+,3,0.23
USR_0181,Enterprise PMs,201-1000,7,0.396
USR_0182,Enterprise PMs,11-50,3,0.271
USR_0183,Mid-market PMs,11-50,3,0.349
USR_0184,Mid-market PMs,201-1000,3,0.128
USR_0185,Enterprise PMs,1000+,6,0.313
USR_0186,Startup PMs,51-200,3,0.0
USR_0187,Startup PMs,51-200,6,0.272
USR_0188,SMB PMs,11-50,2,0.055
USR_0189,SMB PMs,201-1000,7,0.481
USR_0190,Enterprise PMs,11-50,4,0.417
USR_0191,Enterprise PMs,11-50,4,0.37
USR_0192,Mid-market PMs,51-200,1,0.528
USR_0193,Mid-market PMs,51-200,5,0.158
USR_0194,SMB PMs,11-50,6,0.562
USR_0195,Enterprise PMs,1-10,1,0.44
USR_0196,Enterprise PMs,201-1000,5,0.265
USR_0197,Startup PMs,11-50,5,0.47
USR_0198,Mid-market PMs,51-200,1,0.134
USR_0199,Mid-market PMs,11-50,3,0.176
USR_0200,Startup PMs,51-200,4,0.209
USR_0201,SMB PMs,51-200,1,0.221
USR_0202,Enterprise PMs,1-10,2,0.142
USR_0203,Enterprise PMs,11-50,4,0.483
USR_0204,Mid-market PMs,1-10,4,0.261
USR_0205,SMB PMs,1-10,5,0.353
USR_0206,Enterprise PMs,1000+,5,0.214
USR_0207,Enterprise PMs,11-50,1,0.027
USR_0208,Startup PMs,201-1000,4,0.341
USR_0209,Enterprise PMs,11-50,3,0.013
USR_0210,Enterprise PMs,201-1000,3,0.29
USR_0211,SMB PMs,201-1000,6,0.095
USR_0212,Startup PMs,51-200,3,0.598
USR_0213,Startup PMs,51-200,3,0.437
USR_0214,Enterprise PMs,51-200,2,0.316
USR_0215,Startup PMs,11-50,6,0.49
USR_0216,Enterprise PMs,1000+,4,0.173
USR_0217,Enterprise PMs,201-1000,3,0.382
USR_0218,Startup PMs,1000+,4,0.33
USR_0219,SMB PMs,1-10,5,0.34
USR_0220,Startup PMs,201-1000,6,0.491
USR_0221,Startup PMs,1000+,7,0.41
USR_0222,SMB PMs,11-50,4,0.343
USR_0223,Enterprise PMs,1-10,4,0.052
USR_0224,Enterprise PMs,201-1000,6,0.156
USR_0225,Enterprise PMs,51-200,3,0.282
USR_0226,Enterprise PMs,201-1000,4,0.314
USR_0227,Mid-market PMs,1-10,6,0.13
USR_0228,Enterprise PMs,201-1000,6,0.662
USR_0229,Mid-market PMs,11-50,3,0.527
USR_0230,SMB PMs,11-50,2,0.39
USR_0231,Startup PMs,11-50,8,0.311
USR_0232,SMB PMs,201-1000,4,0.268
USR_0233,SMB PMs,201-1000,4,0.157
USR_0234,SMB PMs,51-200,4,0.312
USR_0235,Enterprise PMs,51-200,1,0.339
USR_0236,Startup PMs,1000+,10,0.114
USR_0237,Enterprise PMs,51-200,6,0.35
USR_0238,Enterprise PMs,201-1000,1,0.277
USR_0239,SMB PMs,51-200,8,0.014
USR_0240,Enterprise PMs,51-200,6,0.171
USR_0241,Mid-market PMs,51-200,3,0.238
USR_0242,Mid-market PMs,11-50,0,0.583
USR_0243,Mid-market PMs,201-1000,4,0.383
USR_0244,Enterprise PMs,51-200,5,0.1
USR_0245,Enterprise PMs,11-50,2,0.373
USR_0246,Mid-market PMs,1000+,2,0.068
USR_0247,SMB PMs,51-200,4,0.462
USR_0248,Mid-market PMs,51-200,3,0.229
USR_0249,Mid-market PMs,1000+,7,0.286
USR_0250,Mid-market PMs,201-1000,7,0.499
USR_0251,Enterprise PMs,1-10,3,0.107
USR_0252,Enterprise PMs,1000+,7,0.09
USR_0253,Mid-market PMs,201-1000,1,0.212
USR_0254,Enterprise PMs,11-50,2,0.456
USR_0255,Enterprise PMs,1-10,3,0.072
USR_0256,SMB PMs,201-1000,3,0.0
USR_0257,Mid-market PMs,201-1000,2,0.232
USR_0258,Startup PMs,51-200,0,0.383
USR_0259,SMB PMs,1000+,1,0.48
USR_0260,Enterprise PMs,201-1000,3,0.231
USR_0261,SMB PMs,11-50,4,0.238
USR_0262,Mid-market PMs,11-50,3,0.473
USR_0263,Enterprise PMs,11-50,5,0.02
USR_0264,SMB PMs,201-1000,6,0.242
USR_0265,Mid-market PMs,1-10,3,0.329
USR_0266,Startup PMs,51-200,2,0.367
USR_0267,Startup PMs,201-1000,3,0.224
USR_0268,Startup PMs,1000+,3,0.305
USR_0269,Enterprise PMs,11-50,3,0.0
USR_0270,Enterprise PMs,201-1000,6,0.201
USR_0271,Startup PMs,1-10,7,0.368
USR_0272,Startup PMs,201-1000,2,0.153
USR_0273,Mid-market PMs,1-10,4,0.309
USR_0274,Mid-market PMs,51-200,3,0.367
USR_0275,SMB PMs,201-1000,6,0.249
USR_0276,SMB PMs,1-10,8,0.326
USR_0277,Startup PMs,11-50,5,0.156
USR_0278,SMB PMs,201-1000,4,0.269
USR_0279,Startup PMs,201-1000,1,0.392
USR_0280,Startup PMs,201-1000,2,0.324
USR_0281,Mid-market PMs,201-1000,5,0.212
USR_0282,Enterprise PMs,51-200,5,0.334
USR_0283,Enterprise PMs,11-50,3,0.407
USR_0284,Enterprise PMs,11-50,1,0.0
USR_0285,SMB PMs,11-50,1,0.474
USR_0286,Enterprise PMs,1000+,4,0.25
USR_0287,SMB PMs,51-200,8,0.364
USR_0288,SMB PMs,51-200,3,0.48
USR_0289,Enterprise PMs,51-200,6,0.094
USR_0290,SMB PMs,1000+,1,0.194
USR_0291,Enterprise PMs,11-50,4,0.257
USR_0292,Enterprise PMs,51-200,4,0.182
USR_0293,Startup PMs,51-200,6,0.56
USR_0294,Enterprise PMs,201-1000,1,0.171
USR_0295,Enterprise PMs,1-10,7,0.217
USR_0296,SMB PMs,1000+,2,0.331
USR_0297,Startup PMs,1000+,5,0.12
USR_0298,Enterprise PMs,51-200,6,0.241
USR_0299,SMB PMs,201-1000,7,0.348
USR_0300,Enterprise PMs,1000+,5,0.25
USR_0301,Enterprise PMs,201-1000,4,0.286
USR_0302,SMB PMs,11-50,5,0.221
USR_0303,SMB PMs,51-200,5,0.073
USR_0304,SMB PMs,201-1000,3,0.348
USR_0305,Startup PMs,51-200,1,0.563
USR_0306,Mid-market PMs,201-1000,4,0.303
USR_0307,SMB PMs,1000+,8,0.334
USR_0308,Enterprise PMs,1000+,3,0.404
USR_0309,Startup PMs,51-200,2,0.11
USR_0310,Enterprise PMs,1-10,4,0.555
USR_0311,SMB PMs,1000+,3,0.33
USR_0312,Enterprise PMs,201-1000,3,0.545
USR_0313,Enterprise PMs,1-10,2,0.19
USR_0314,Mid-market PMs,1000+,5,0.573
USR_0315,Startup PMs,1000+,5,0.416
USR_0316,Startup PMs,51-200,4,0.383
USR_0317,SMB PMs,51-200,3,0.335
USR_0318,Enterprise PMs,51-200,7,0.263
USR_0319,Enterprise PMs,1-10,4,0.48
USR_0320,Enterprise PMs,11-50,3,0.321
USR_0321,SMB PMs,201-1000,0,0.005
USR_0322,Startup PMs,1-10,2,0.132
USR_0323,Startup PMs,11-50,3,0.272
USR_0324,Enterprise PMs,51-200,3,0.346
USR_0325,Mid-market PMs,51-200,5,0.292
USR_0326,Startup PMs,1000+,4,0.483
USR_0327,SMB PMs,11-50,5,0.007
USR_0328,SMB PMs,11-50,7,0.322
USR_0329,SMB PMs,201-1000,3,0.027
USR_0330,Enterprise PMs,51-200,5,0.414
USR_0331,Enterprise PMs,11-50,2,0.286
USR_0332,Startup PMs,51-200,6,0.363
USR_0333,Enterprise PMs,1-10,5,0.17
USR_0334,Enterprise PMs,11-50,6,0.492
USR_0335,Enterprise PMs,51-200,3,0.456
USR_0336,Enterprise PMs,51-200,2,0.388
USR_0337,Mid-market PMs,1000+,1,0.281
USR_0338,Startup PMs,51-200,2,0.387
USR_0339,SMB PMs,51-200,3,0.194
USR_0340,Enterprise PMs,201-1000,2,0.428
USR_0341,SMB PMs,1-10,7,0.547
USR_0342,SMB PMs,201-1000,2,0.461
USR_0343,Enterprise PMs,11-50,4,0.191
USR_0344,SMB PMs,1000+,4,0.354
USR_0345,Enterprise PMs,1-10,0,0.106
USR_0346,SMB PMs,51-200,4,0.386
USR_0347,SMB PMs,1-10,6,0.368
USR_0348,Enterprise PMs,1000+,4,0.02
USR_0349,Enterprise PMs,51-200,7,0.126
USR_0350,SMB PMs,51-200,2,0.258
USR_0351,SMB PMs,1-10,4,0.255
USR_0352,Mid-market PMs,201-1000,5,0.119
USR_0353,Startup PMs,11-50,5,0.358
USR_0354,Enterprise PMs,1000+,1,0.338
USR_0355,Enterprise PMs,11-50,5,0.271
USR_0356,SMB PMs,11-50,3,0.187
USR_0357,Enterprise PMs,1-10,4,0.457
USR_0358,SMB PMs,51-200,2,0.548
USR_0359,Mid-market PMs,51-200,5,0.227
USR_0360,SMB PMs,1-10,8,0.208
USR_0361,Enterprise PMs,201-1000,4,0.374
USR_0362,SMB PMs,51-200,9,0.246
USR_0363,SMB PMs,51-200,3,0.279
USR_0364,SMB PMs,51-200,3,0.411
USR_0365,Mid-market PMs,51-200,0,0.014
USR_0366,Enterprise PMs,51-200,4,0.498
USR_0367,Mid-market PMs,11-50,4,0.311
USR_0368,Mid-market PMs,11-50,1,0.238
USR_0369,Enterprise PMs,1000+,3,0.287
USR_0370,Enterprise PMs,1000+,4,0.294
USR_0371,Enterprise PMs,51-200,7,0.04
USR_0372,Enterprise PMs,11-50,4,0.524
USR_0373,Enterprise PMs,201-1000,3,0.306
USR_0374,Startup PMs,51-200,1,0.366
USR_0375,Enterprise PMs,1-10,5,0.443
USR_0376,Enterprise PMs,11-50,7,0.147
USR_0377,Startup PMs,201-1000,4,0.371
USR_0378,Enterprise PMs,201-1000,4,0.26
USR_0379,Startup PMs,1-10,1,0.427
USR_0380,Enterprise PMs,11-50,8,0.0
USR_0381,Enterprise PMs,11-50,4,0.285
USR_0382,Startup PMs,201-1000,1,0.21
USR_0383,SMB PMs,1-10,1,0.365
USR_0384,Mid-market PMs,1-10,2,0.371
USR_0385,Startup PMs,201-1000,4,0.194
USR_0386,Startup PMs,11-50,0,0.193
USR_0387,Enterprise PMs,201-1000,7,0.283
USR_0388,Enterprise PMs,11-50,4,0.166
USR_0389,Startup PMs,1-10,7,0.426
USR_0390,Startup PMs,11-50,6,0.245
USR_0391,Mid-market PMs,201-1000,5,0.0
USR_0392,SMB PMs,1000+,7,0.244
USR_0393,Enterprise PMs,201-1000,6,0.144
USR_0394,Startup PMs,51-200,8,0.055
USR_0395,Enterprise PMs,201-1000,4,0.114
USR_0396,Mid-market PMs,11-50,2,0.316
USR_0397,Mid-market PMs,11-50,8,0.499
USR_0398,SMB PMs,1000+,6,0.347
USR_0399,Startup PMs,1-10,2,0.209
USR_0400,Startup PMs,1-10,5,0.368
USR_0401,Enterprise PMs,11-50,4,0.231
USR_0402,Mid-market PMs,1-10,3,0.196
USR_0403,SMB PMs,11-50,4,0.127
USR_0404,Startup PMs,51-200,3,0.037
USR_0405,Enterprise PMs,51-200,3,0.242
USR_0406,Mid-market PMs,1000+,6,0.324
USR_0407,Enterprise PMs,201-1000,3,0.286
USR_0408,Enterprise PMs,11-50,3,0.238
USR_0409,Mid-market PMs,11-50,3,0.158
USR_0410,Enterprise PMs,51-200,5,0.391
USR_0411,Enterprise PMs,51-200,3,0.102
USR_0412,Mid-market PMs,11-50,4,0.416
USR_0413,Mid-market PMs,201-1000,3,0.15
USR_0414,SMB PMs,51-200,3,0.187
USR_0415,SMB PMs,51-200,6,0.08
USR_0416,SMB PMs,51-200,4,0.225
USR_0417,Enterprise PMs,11-50,7,0.446
USR_0418,Enterprise PMs,1000+,0,0.377
USR_0419,Startup PMs,201-1000,6,0.447
USR_0420,Startup PMs,1-10,3,0.378
USR_0421,Startup PMs,1000+,4,0.134
USR_0422,Startup PMs,51-200,3,0.25
USR_0423,Enterprise PMs,1000+,5,0.183
USR_0424,SMB PMs,201-1000,3,0.5
USR_0425,Enterprise PMs,51-200,2,0.12
USR_0426,SMB PMs,1-10,1,0.434
USR_0427,SMB PMs,11-50,4,0.434
USR_0428,Mid-market PMs,51-200,9,0.574
USR_0429,Enterprise PMs,201-1000,2,0.239
USR_0430,Enterprise PMs,11-50,6,0.407
USR_0431,Enterprise PMs,1-10,5,0.642
USR_0432,Startup PMs,201-1000,3,0.207
USR_0433,SMB PMs,1000+,3,0.07
USR_0434,Enterprise PMs,51-200,2,0.018
USR_0435,Enterprise PMs,11-50,4,0.407
USR_0436,Startup PMs,11-50,3,0.018
USR_0437,Enterprise PMs,1-10,1,0.244
USR_0438,Startup PMs,1000+,5,0.366
USR_0439,Startup PMs,1-10,4,0.328
USR_0440,Enterprise PMs,51-200,7,0.364
USR_0441,Enterprise PMs,11-50,4,0.333
USR_0442,Mid-market PMs,51-200,7,0.492
USR_0443,Enterprise PMs,201-1000,4,0.157
USR_0444,Enterprise PMs,201-1000,3,0.198
USR_0445,Startup PMs,11-50,0,0.184
USR_0446,Mid-market PMs,1-10,4,0.425
USR_0447,Mid-market PMs,1-10,1,0.435
USR_0448,Startup PMs,1000+,3,0.368
USR_0449,Enterprise PMs,1000+,3,0.478
USR_0450,Enterprise PMs,51-200,2,0.123
USR_0451,Startup PMs,201-1000,5,0.55
USR_0452,SMB PMs,201-1000,5,0.528
USR_0453,SMB PMs,11-50,5,0.41
USR_0454,Mid-market PMs,1000+,3,0.567
USR_0455,Enterprise PMs,51-200,4,0.052
USR_0456,SMB PMs,51-200,0,0.221
USR_0457,Enterprise PMs,51-200,3,0.19
USR_0458,SMB PMs,1-10,3,0.408
USR_0459,Enterprise PMs,11-50,8,0.142
USR_0460,Enterprise PMs,201-1000,4,0.414
USR_0461,Enterprise PMs,1-10,4,0.506
USR_0462,SMB PMs,201-1000,4,0.404
USR_0463,Startup PMs,11-50,2,0.343
USR_0464,SMB PMs,51-200,5,0.152
USR_0465,Mid-market PMs,11-50,2,0.173
USR_0466,Enterprise PMs,51-200,5,0.487
USR_0467,Enterprise PMs,201-1000,3,0.417
USR_0468,Mid-market PMs,11-50,4,0.294
USR_0469,Enterprise PMs,51-200,6,0.237
USR_0470,Mid-market PMs,51-200,3,0.0
USR_0471,Enterprise PMs,201-1000,9,0.139
USR_0472,Mid-market PMs,1000+,4,0.587
USR_0473,Enterprise PMs,201-1000,4,0.108
USR_0474,Mid-market PMs,11-50,1,0.328
USR_0475,SMB PMs,1-10,7,0.451
USR_0476,Mid-market PMs,11-50,4,0.112
USR_0477,Enterprise PMs,51-200,4,0.328
USR_0478,SMB PMs,1-10,4,0.441
USR_0479,Mid-market PMs,51-200,3,0.302
USR_0480,SMB PMs,51-200,1,0.73
USR_0481,SMB PMs,11-50,3,0.05
USR_0482,Startup PMs,201-1000,9,0.459
USR_0483,SMB PMs,1-10,2,0.274
USR_0484,SMB PMs,1-10,7,0.416
USR_0485,SMB PMs,201-1000,2,0.366
USR_0486,Mid-market PMs,51-200,5,0.19
USR_0487,Enterprise PMs,201-1000,0,0.334
USR_0488,Enterprise PMs,51-200,3,0.021
USR_0489,Mid-market PMs,11-50,9,0.39
USR_0490,Mid-market PMs,201-1000,6,0.345
USR_0491,SMB PMs,201-1000,8,0.396
USR_0492,SMB PMs,201-1000,5,0.459
USR_0493,Enterprise PMs,11-50,5,0.355
USR_0494,Enterprise PMs,51-200,5,0.322
USR_0495,SMB PMs,51-200,2,0.168
USR_0496,Enterprise PMs,1-10,9,0.193
USR_0497,SMB PMs,1000+,5,0.478
USR_0498,Enterprise PMs,1-10,1,0.515
USR_0499,Mid-market PMs,1000+,4,0.264
USR_0500,Mid-market PMs,51-200,5,0.307
