EventID,Date,UserID,Feature,EventType,ChurnFlag
85,2025-12-31,USR_0004,Meeting Optimizer,Adopt,1
86,2024-10-22,USR_0302,Roadmap Planner,Adopt,0
87,2024-06-19,USR_0107,Stakeholder Tool,Adopt,0
88,2025-11-23,USR_0013,Roadmap Planner,Churn,0
89,2024-06-10,USR_0031,Analytics Dashboard,Adopt,0
90,2025-01-30,USR_0395,Analytics Dashboard,Adopt,0
91,2025-04-23,USR_0170,Stakeholder Tool,Adopt,0
92,2025-04-15,USR_0053,Roadmap Planner,Adopt,0
93,2024-03-04,USR_0097,Analytics Dashboard,Adopt,1
94,2024-04-20,USR_0447,Analytics Dashboard,Adopt,0
95,2024-09-27,USR_0257,Meeting Optimizer,Churn,0
96,2024-09-05,USR_0265,Meeting Optimizer,Adopt,0
97,2025-02-10,USR_0093,Stakeholder Tool,Adopt,0
98,2024-08-07,USR_0042,Roadmap Planner,Churn,0
99,2024-11-21,USR_0314,Analytics Dashboard,Churn,1
100,2024-04-26,USR_0478,Stakeholder Tool,Adopt,0
101,2024-01-16,USR_0243,Meeting Optimizer,Adopt,0
102,2025-12-29,USR_0325,Stakeholder Tool,Adopt,1
103,2024-10-23,USR_0082,Roadmap Planner,Churn,0
104,2024-12-27,USR_0417,Stakeholder Tool,Adopt,0
105,2025-11-12,USR_0349,Analytics Dashboard,Churn,1
106,2025-12-22,USR_0473,Meeting Optimizer,Adopt,1
107,2025-01-08,USR_0137,Stakeholder Tool,Adopt,1
108,2024-06-20,USR_0130,Analytics Dashboard,Adopt,0
109,2025-03-29,USR_0003,Meeting Optimizer,Adopt,0
110,2025-05-05,USR_0098,Analytics Dashboard,Churn,1
111,2025-06-07,USR_0220,Stakeholder Tool,Adopt,1
112,2025-03-21,USR_0462,Roadmap Planner,Adopt,1
113,2025-08-23,USR_0394,Roadmap Planner,Adopt,0
114,2025-09-23,USR_0247,Stakeholder Tool,Adopt,0
115,2024-01-24,USR_0139,Analytics Dashboard,Adopt,1
116,2025-05-16,USR_0393,Roadmap Planner,Adopt,0
117,2025-01-27,USR_0069,Stakeholder Tool,Adopt,0
118,2024-01-26,USR_0225,Stakeholder Tool,Adopt,0
119,2024-07-23,USR_0438,Meeting Optimizer,Adopt,0
120,2024-09-12,USR_0488,Stakeholder Tool,Churn,1
121,2024-10-06,USR_0146,Meeting Optimizer,Adopt,0
122,2024-08-05,USR_0080,Roadmap Planner,Adopt,0
123,2024-05-13,USR_0137,Analytics Dashboard,Adopt,0
124,2024-08-19,USR_0024,Meeting Optimizer,Adopt,0
125,2025-05-22,USR_0404,Analytics Dashboard,Churn,0
126,2025-02-06,USR_0415,Roadmap Planner,Adopt,0
127,2025-02-15,USR_0281,Stakeholder Tool,Adopt,0
128,2024-10-16,USR_0274,Analytics Dashboard,Churn,1
129,2025-12-22,USR_0106,Roadmap Planner,Adopt,0
130,2025-04-30,USR_0466,Roadmap Planner,Churn,0
131,2025-04-15,USR_0366,Roadmap Planner,Adopt,1
132,2025-08-12,USR_0119,Stakeholder Tool,Churn,0
133,2024-01-22,USR_0105,Stakeholder Tool,Churn,0
134,2024-12-14,USR_0226,Analytics Dashboard,Churn,0
135,2024-07-17,USR_0281,Meeting Optimizer,Adopt,0
136,2024-05-15,USR_0034,Roadmap Planner,Churn,1
137,2025-03-19,USR_0405,Stakeholder Tool,Adopt,0
138,2024-08-20,USR_0012,Roadmap Planner,Adopt,0
139,2024-12-25,USR_0253,Meeting Optimizer,Adopt,1
140,2024-04-02,USR_0396,Analytics Dashboard,Adopt,0
141,2025-02-18,USR_0284,Stakeholder Tool,Adopt,0
142,2025-10-26,USR_0031,Meeting Optimizer,Adopt,0
143,2025-11-09,USR_0086,Stakeholder Tool,Churn,0
144,2024-05-15,USR_0381,Meeting Optimizer,Adopt,1
145,2025-09-08,USR_0444,Meeting Optimizer,Adopt,0
146,2024-08-11,USR_0427,Meeting Optimizer,Churn,0
147,2025-02-18,USR_0184,Stakeholder Tool,Adopt,0
148,2024-02-13,USR_0315,Analytics Dashboard,Adopt,0
149,2025-11-22,USR_0177,Stakeholder Tool,Churn,0
150,2024-03-20,USR_0290,Roadmap Planner,Adopt,0
151,2024-07-14,USR_0016,Stakeholder Tool,Churn,1
152,2025-07-26,USR_0103,Analytics Dashboard,Churn,0
153,2025-07-26,USR_0457,Stakeholder Tool,Adopt,1
154,2024-06-01,USR_0260,Analytics Dashboard,Adopt,1
155,2024-05-23,USR_0344,Roadmap Planner,Adopt,0
156,2025-08-11,USR_0152,Meeting Optimizer,Churn,1
157,2024-02-20,USR_0246,Roadmap Planner,Churn,0
158,2024-05-20,USR_0314,Roadmap Planner,Adopt,0
159,2024-02-25,USR_0109,Roadmap Planner,Adopt,0
160,2025-08-22,USR_0084,Meeting Optimizer,Adopt,1
161,2024-09-26,USR_0203,Stakeholder Tool,Churn,1
162,2025-11-28,USR_0387,Roadmap Planner,Churn,0
163,2025-01-05,USR_0130,Meeting Optimizer,Adopt,0
164,2025-01-05,USR_0211,Meeting Optimizer,Adopt,1
165,2025-09-28,USR_0042,Stakeholder Tool,Adopt,0
166,2024-03-11,USR_0390,Roadmap Planner,Churn,0
167,2025-06-03,USR_0048,Analytics Dashboard,Adopt,0
168,2025-06-05,USR_0466,Roadmap Planner,Churn,0
169,2024-04-08,USR_0495,Stakeholder Tool,Adopt,1
170,2025-07-13,USR_0293,Roadmap Planner,Churn,0
171,2025-06-03,USR_0325,Roadmap Planner,Adopt,1
172,2025-02-17,USR_0075,Analytics Dashboard,Adopt,0
173,2025-06-08,USR_0194,Roadmap Planner,Churn,0
174,2024-04-05,USR_0105,Analytics Dashboard,Churn,1
175,2025-04-08,USR_0331,Analytics Dashboard,Churn,1
176,2025-02-17,USR_0220,Meeting Optimizer,Churn,0
177,2025-11-07,USR_0053,Meeting Optimizer,Churn,1
178,2025-10-12,USR_0004,Roadmap Planner,Adopt,0
179,2025-03-17,USR_0266,Stakeholder Tool,Adopt,1
180,2024-05-31,USR_0112,Meeting Optimizer,Adopt,0
181,2025-07-14,USR_0286,Analytics Dashboard,Churn,0
182,2024-07-17,USR_0046,Stakeholder Tool,Adopt,1
183,2025-10-23,USR_0328,Analytics Dashboard,Adopt,0
184,2025-09-19,USR_0193,Roadmap Planner,Adopt,0
185,2025-09-16,USR_0083,Analytics Dashboard,Adopt,1
186,2024-05-01,USR_0410,Meeting Optimizer,Adopt,0
187,2024-02-20,USR_0168,Meeting Optimizer,Adopt,0
188,2025-09-19,USR_0257,Roadmap Planner,Adopt,0
189,2024-09-13,USR_0207,Analytics Dashboard,Adopt,1
190,2024-10-09,USR_0215,Meeting Optimizer,Churn,0
191,2024-04-12,USR_0269,Analytics Dashboard,Adopt,1
192,2024-10-25,USR_0056,Stakeholder Tool,Churn,0
193,2024-08-05,USR_0278,Roadmap Planner,Adopt,0
194,2024-04-05,USR_0288,Analytics Dashboard,Adopt,0
195,2025-04-12,USR_0026,Analytics Dashboard,Churn,1
196,2024-07-04,USR_0299,Roadmap Planner,Churn,0
197,2024-09-29,USR_0493,Analytics Dashboard,Adopt,0
198,2025-12-12,USR_0182,Meeting Optimizer,Adopt,0
199,2024-10-13,USR_0472,Stakeholder Tool,Churn,0
200,2025-08-24,USR_0234,Stakeholder Tool,Adopt,1
201,2025-06-26,USR_0374,Meeting Optimizer,Adopt,1
202,2025-09-14,USR_0021,Roadmap Planner,Adopt,0
203,2025-12-14,USR_0414,Roadmap Planner,Adopt,1
204,2025-11-02,USR_0131,Meeting Optimizer,Adopt,0
205,2025-03-09,USR_0057,Analytics Dashboard,Churn,0
206,2025-09-28,USR_0088,Stakeholder Tool,Churn,1
207,2024-02-01,USR_0227,Meeting Optimizer,Adopt,0
208,2024-04-21,USR_0438,Stakeholder Tool,Churn,0
209,2025-09-16,USR_0336,Stakeholder Tool,Churn,0
210,2025-10-29,USR_0356,Stakeholder Tool,Adopt,0
211,2024-03-12,USR_0205,Stakeholder Tool,Churn,1
212,2025-09-07,USR_0178,Meeting Optimizer,Adopt,1
213,2025-12-18,USR_0464,Stakeholder Tool,Adopt,0
214,2024-08-22,USR_0259,Meeting Optimizer,Churn,1
215,2024-10-11,USR_0100,Meeting Optimizer,Churn,0
216,2024-10-03,USR_0223,Analytics Dashboard,Churn,0
217,2025-03-24,USR_0433,Stakeholder Tool,Churn,0
218,2025-11-03,USR_0198,Meeting Optimizer,Churn,1
219,2025-02-15,USR_0480,Stakeholder Tool,Churn,1
220,2025-12-01,USR_0096,Stakeholder Tool,Adopt,0
221,2025-07-19,USR_0289,Roadmap Planner,Adopt,0
222,2025-10-04,USR_0106,Roadmap Planner,Churn,0
223,2025-12-11,USR_0406,Stakeholder Tool,Adopt,1
224,2025-05-04,USR_0221,Meeting Optimizer,Churn,0
225,2024-09-20,USR_0493,Meeting Optimizer,Adopt,1
226,2024-01-11,USR_0188,Meeting Optimizer,Adopt,1
227,2025-09-28,USR_0059,Meeting Optimizer,Adopt,0
228,2024-05-02,USR_0204,Stakeholder Tool,Adopt,0
229,2025-01-21,USR_0183,Analytics Dashboard,Adopt,0
230,2025-10-08,USR_0345,Stakeholder Tool,Churn,0
231,2025-11-26,USR_0169,Roadmap Planner,Adopt,0
232,2024-02-25,USR_0067,Stakeholder Tool,Adopt,0
233,2024-08-16,USR_0215,Roadmap Planner,Adopt,1
234,2024-04-04,USR_0379,Stakeholder Tool,Adopt,0
235,2024-07-31,USR_0400,Meeting Optimizer,Adopt,0
236,2025-05-02,USR_0455,Stakeholder Tool,Churn,0
237,2024-05-26,USR_0299,Meeting Optimizer,Adopt,0
238,2025-05-17,USR_0310,Stakeholder Tool,Adopt,0
239,2024-01-22,USR_0040,Analytics Dashboard,Churn,1
240,2025-04-13,USR_0270,Analytics Dashboard,Adopt,0
241,2025-04-14,USR_0070,Meeting Optimizer,Churn,0
242,2025-07-20,USR_0303,Analytics Dashboard,Churn,0
243,2025-11-15,USR_0066,Roadmap Planner,Adopt,0
244,2025-04-25,USR_0234,Meeting Optimizer,Churn,1
245,2025-01-11,USR_0225,Analytics Dashboard,Churn,0
246,2025-08-05,USR_0350,Meeting Optimizer,Adopt,0
247,2025-09-14,USR_0146,Analytics Dashboard,Churn,0
248,2025-01-04,USR_0244,Meeting Optimizer,Adopt,0
249,2024-07-25,USR_0367,Roadmap Planner,Adopt,0
250,2025-06-16,USR_0490,Meeting Optimizer,Adopt,0
251,2025-04-08,USR_0139,Stakeholder Tool,Churn,1
252,2025-04-25,USR_0036,Analytics Dashboard,Adopt,0
253,2025-03-14,USR_0029,Roadmap Planner,Churn,1
254,2025-11-15,USR_0458,Roadmap Planner,Churn,0
255,2024-12-27,USR_0438,Stakeholder Tool,Adopt,0
256,2025-04-14,USR_0267,Meeting Optimizer,Churn,0
257,2024-08-28,USR_0163,Stakeholder Tool,Adopt,1
258,2024-01-29,USR_0162,Meeting Optimizer,Adopt,0
259,2025-04-17,USR_0387,Roadmap Planner,Adopt,0
260,2024-03-02,USR_0095,Analytics Dashboard,Adopt,0
261,2025-08-26,USR_0136,Stakeholder Tool,Churn,1
262,2024-02-18,USR_0075,Stakeholder Tool,Adopt,0
263,2024-02-11,USR_0444,Roadmap Planner,Adopt,0
264,2024-08-08,USR_0344,Stakeholder Tool,Adopt,0
265,2024-04-24,USR_0322,Analytics Dashboard,Adopt,0
266,2025-02-17,USR_0307,Stakeholder Tool,Churn,1
267,2024-09-09,USR_0208,Roadmap Planner,Adopt,0
268,2025-08-04,USR_0272,Analytics Dashboard,Adopt,0
269,2024-09-22,USR_0312,Roadmap Planner,Churn,1
270,2024-11-04,USR_0446,Roadmap Planner,Churn,1
271,2025-10-08,USR_0128,Analytics Dashboard,Churn,0
272,2024-08-20,USR_0203,Roadmap Planner,Adopt,0
273,2024-12-18,USR_0472,Meeting Optimizer,Adopt,0
274,2024-04-01,USR_0253,Roadmap Planner,Adopt,1
275,2024-07-08,USR_0257,Analytics Dashboard,Adopt,1
276,2024-05-01,USR_0311,Analytics Dashboard,Adopt,1
277,2024-04-03,USR_0152,Stakeholder Tool,Adopt,0
278,2024-08-22,USR_0059,Meeting Optimizer,Churn,0
279,2025-02-01,USR_0221,Roadmap Planner,Adopt,1
280,2024-08-14,USR_0077,Meeting Optimizer,Adopt,0
281,2024-10-06,USR_0371,Roadmap Planner,Churn,0
282,2025-10-30,USR_0391,Meeting Optimizer,Churn,0
283,2025-04-28,USR_0077,Stakeholder Tool,Adopt,0
284,2025-04-19,USR_0207,Roadmap Planner,Adopt,0
285,2025-10-09,USR_0082,Analytics Dashboard,Adopt,0
286,2024-08-02,USR_0497,Meeting Optimizer,Churn,1
287,2024-01-12,USR_0192,Roadmap Planner,Adopt,0
288,2025-07-26,USR_0245,Meeting Optimizer,Churn,1
289,2025-01-07,USR_0341,Stakeholder Tool,Adopt,0
290,2024-04-08,USR_0325,Meeting Optimizer,Adopt,0
291,2024-05-28,USR_0143,Roadmap Planner,Adopt,1
292,2025-12-09,USR_0007,Meeting Optimizer,Adopt,0
293,2024-08-21,USR_0309,Analytics Dashboard,Adopt,1
294,2025-10-06,USR_0220,Roadmap Planner,Churn,1
295,2024-07-30,USR_0083,Analytics Dashboard,Adopt,0
296,2024-11-15,USR_0184,Analytics Dashboard,Adopt,0
297,2024-09-27,USR_0060,Stakeholder Tool,Churn,1
298,2024-04-20,USR_0166,Analytics Dashboard,Churn,0
299,2024-10-06,USR_0132,Roadmap Planner,Adopt,1
300,2025-09-11,USR_0226,Roadmap Planner,Churn,0
301,2024-06-23,USR_0067,Stakeholder Tool,Adopt,1
302,2024-11-28,USR_0432,Analytics Dashboard,Adopt,0
303,2024-05-09,USR_0342,Stakeholder Tool,Churn,1
304,2024-08-01,USR_0461,Roadmap Planner,Churn,0
305,2025-06-28,USR_0368,Meeting Optimizer,Churn,1
306,2025-10-25,USR_0013,Meeting Optimizer,Adopt,1
307,2025-08-01,USR_0339,Meeting Optimizer,Churn,0
308,2024-02-16,USR_0059,Meeting Optimizer,Churn,1
309,2025-06-11,USR_0250,Roadmap Planner,Adopt,0
310,2024-07-17,USR_0078,Analytics Dashboard,Adopt,0
311,2025-12-26,USR_0203,Analytics Dashboard,Adopt,0
312,2025-05-17,USR_0414,Roadmap Planner,Adopt,1
313,2025-06-14,USR_0233,Roadmap Planner,Churn,0
314,2024-08-21,USR_0113,Analytics Dashboard,Adopt,0
315,2025-04-19,USR_0372,Stakeholder Tool,Churn,0
316,2024-01-25,USR_0427,Meeting Optimizer,Churn,1
317,2024-11-01,USR_0264,Meeting Optimizer,Adopt,0
318,2024-12-16,USR_0464,Stakeholder Tool,Churn,1
319,2025-03-23,USR_0343,Stakeholder Tool,Churn,0
320,2025-05-06,USR_0135,Meeting Optimizer,Adopt,0
321,2025-01-07,USR_0385,Stakeholder Tool,Churn,0
322,2025-04-24,USR_0079,Stakeholder Tool,Adopt,0
323,2024-03-09,USR_0376,Roadmap Planner,Churn,1
324,2024-02-20,USR_0084,Roadmap Planner,Adopt,1
325,2024-01-26,USR_0317,Stakeholder Tool,Adopt,0
326,2024-06-20,USR_0310,Analytics Dashboard,Adopt,0
327,2024-03-21,USR_0352,Analytics Dashboard,Churn,0
328,2024-01-16,USR_0108,Meeting Optimizer,Churn,0
329,2024-12-23,USR_0227,Roadmap Planner,Churn,0
330,2024-04-29,USR_0167,Stakeholder Tool,Churn,0
331,2025-09-06,USR_0321,Analytics Dashboard,Churn,0
332,2025-03-05,USR_0174,Stakeholder Tool,Adopt,0
333,2025-08-03,USR_0021,Analytics Dashboard,Adopt,0
334,2024-12-18,USR_0492,Meeting Optimizer,Adopt,0
335,2024-10-01,USR_0093,Meeting Optimizer,Adopt,1
336,2024-01-03,USR_0307,Analytics Dashboard,Adopt,1
337,2025-10-10,USR_0069,Analytics Dashboard,Churn,0
338,2025-11-16,USR_0351,Stakeholder Tool,Adopt,0
339,2025-01-31,USR_0112,Stakeholder Tool,Adopt,0
340,2025-12-17,USR_0147,Analytics Dashboard,Adopt,0
341,2025-04-16,USR_0134,Meeting Optimizer,Adopt,0
342,2025-04-23,USR_0030,Meeting Optimizer,Adopt,0
343,2024-09-15,USR_0120,Analytics Dashboard,Adopt,0
344,2025-09-08,USR_0048,Meeting Optimizer,Churn,0
345,2024-01-10,USR_0413,Analytics Dashboard,Adopt,0
346,2024-11-17,USR_0263,Stakeholder Tool,Adopt,0
347,2024-08-08,USR_0386,Stakeholder Tool,Churn,1
348,2025-11-29,USR_0250,Roadmap Planner,Churn,0
349,2025-11-18,USR_0104,Analytics Dashboard,Adopt,0
350,2024-02-18,USR_0167,Roadmap Planner,Adopt,0
351,2025-08-25,USR_0004,Roadmap Planner,Adopt,1
352,2024-11-04,USR_0049,Roadmap Planner,Adopt,0
353,2024-05-12,USR_0269,Analytics Dashboard,Adopt,0
354,2024-12-07,USR_0252,Analytics Dashboard,Adopt,0
355,2024-09-09,USR_0409,Roadmap Planner,Churn,0
356,2024-04-16,USR_0263,Analytics Dashboard,Adopt,0
357,2024-08-26,USR_0006,Roadmap Planner,Adopt,0
358,2025-08-16,USR_0165,Stakeholder Tool,Adopt,0
359,2025-03-30,USR_0254,Analytics Dashboard,Adopt,0
360,2025-01-16,USR_0093,Stakeholder Tool,Churn,0
361,2024-09-24,USR_0474,Analytics Dashboard,Adopt,1
362,2025-10-23,USR_0431,Meeting Optimizer,Adopt,1
363,2025-06-13,USR_0278,Stakeholder Tool,Adopt,0
364,2025-01-23,USR_0051,Analytics Dashboard,Churn,0
365,2024-03-02,USR_0380,Analytics Dashboard,Churn,0
366,2024-12-02,USR_0173,Stakeholder Tool,Churn,0
367,2024-12-09,USR_0202,Meeting Optimizer,Churn,0
368,2024-12-18,USR_0176,Roadmap Planner,Adopt,0
369,2025-12-28,USR_0426,Roadmap Planner,Adopt,0
370,2024-03-11,USR_0095,Roadmap Planner,Adopt,0
371,2025-08-24,USR_0014,Analytics Dashboard,Churn,0
372,2025-05-09,USR_0373,Roadmap Planner,Adopt,0
373,2025-06-21,USR_0268,Analytics Dashboard,Churn,0
374,2024-09-11,USR_0038,Stakeholder Tool,Churn,1
375,2024-01-09,USR_0059,Stakeholder Tool,Adopt,1
376,2024-07-19,USR_0462,Roadmap Planner,Adopt,1
377,2025-05-18,USR_0224,Roadmap Planner,Churn,0
378,2024-03-21,USR_0220,Stakeholder Tool,Adopt,0
379,2025-05-19,USR_0262,Stakeholder Tool,Adopt,0
380,2025-06-13,USR_0288,Roadmap Planner,Churn,0
381,2025-12-26,USR_0296,Analytics Dashboard,Adopt,1
382,2025-02-14,USR_0080,Analytics Dashboard,Adopt,0
383,2025-10-31,USR_0078,Meeting Optimizer,Churn,0
384,2024-10-06,USR_0404,Roadmap Planner,Adopt,0
385,2025-10-07,USR_0280,Roadmap Planner,Churn,1
386,2024-02-28,USR_0231,Analytics Dashboard,Adopt,0
387,2025-10-18,USR_0029,Meeting Optimizer,Adopt,0
388,2025-08-17,USR_0337,Meeting Optimizer,Churn,0
389,2025-01-29,USR_0094,Analytics Dashboard,Adopt,0
390,2025-02-09,USR_0411,Analytics Dashboard,Churn,0
391,2024-01-08,USR_0108,Meeting Optimizer,Churn,0
392,2024-10-02,USR_0378,Stakeholder Tool,Adopt,1
393,2024-03-12,USR_0173,Stakeholder Tool,Churn,0
394,2025-03-14,USR_0283,Stakeholder Tool,Adopt,0
395,2025-11-24,USR_0276,Meeting Optimizer,Adopt,0
396,2025-07-14,USR_0210,Roadmap Planner,Adopt,0
397,2024-04-14,USR_0290,Roadmap Planner,Adopt,1
398,2025-03-15,USR_0438,Stakeholder Tool,Churn,0
399,2024-02-21,USR_0252,Meeting Optimizer,Churn,0
400,2025-01-13,USR_0385,Roadmap Planner,Adopt,0
401,2025-01-12,USR_0294,Stakeholder Tool,Adopt,0
402,2024-02-16,USR_0013,Stakeholder Tool,Churn,0
403,2025-03-10,USR_0104,Meeting Optimizer,Churn,1
404,2025-03-11,USR_0303,Meeting Optimizer,Churn,1
405,2024-05-10,USR_0264,Roadmap Planner,Adopt,0
406,2024-06-03,USR_0384,Roadmap Planner,Adopt,0
407,2025-08-15,USR_0327,Analytics Dashboard,Churn,0
408,2025-01-30,USR_0339,Meeting Optimizer,Adopt,1
409,2024-03-17,USR_0325,Roadmap Planner,Churn,0
410,2024-12-16,USR_0396,Meeting Optimizer,Adopt,0
411,2025-07-19,USR_0462,Roadmap Planner,Adopt,0
412,2025-10-22,USR_0408,Meeting Optimizer,Adopt,0
413,2024-10-23,USR_0320,Roadmap Planner,Adopt,0
414,2025-01-13,USR_0325,Analytics Dashboard,Churn,0
415,2024-02-07,USR_0100,Stakeholder Tool,Adopt,0
416,2024-07-31,USR_0480,Meeting Optimizer,Churn,0
417,2025-04-10,USR_0487,Roadmap Planner,Adopt,0
418,2024-12-24,USR_0202,Meeting Optimizer,Churn,1
419,2024-06-01,USR_0214,Meeting Optimizer,Adopt,0
420,2024-04-18,USR_0222,Stakeholder Tool,Adopt,0
421,2024-03-13,USR_0232,Stakeholder Tool,Adopt,0
422,2024-03-21,USR_0500,Analytics Dashboard,Adopt,0
423,2025-11-12,USR_0013,Analytics Dashboard,Adopt,0
424,2025-04-13,USR_0055,Stakeholder Tool,Churn,0
425,2024-01-09,USR_0412,Roadmap Planner,Adopt,1
426,2025-03-04,USR_0500,Analytics Dashboard,Adopt,1
427,2025-05-04,USR_0382,Analytics Dashboard,Churn,0
428,2024-06-15,USR_0472,Analytics Dashboard,Churn,1
429,2025-05-27,USR_0378,Roadmap Planner,Adopt,0
430,2024-01-09,USR_0084,Roadmap Planner,Adopt,0
431,2024-12-07,USR_0368,Meeting Optimizer,Adopt,0
432,2025-12-06,USR_0304,Roadmap Planner,Adopt,1
433,2024-02-17,USR_0366,Analytics Dashboard,Churn,1
434,2024-03-22,USR_0106,Stakeholder Tool,Adopt,0
435,2025-08-05,USR_0389,Analytics Dashboard,Adopt,0
436,2025-07-02,USR_0154,Analytics Dashboard,Adopt,1
437,2024-05-22,USR_0020,Analytics Dashboard,Churn,1
438,2024-03-24,USR_0406,Stakeholder Tool,Adopt,1
439,2025-09-06,USR_0261,Analytics Dashboard,Adopt,0
440,2025-03-14,USR_0223,Meeting Optimizer,Adopt,0
441,2025-05-12,USR_0263,Stakeholder Tool,Adopt,1
442,2025-01-20,USR_0014,Meeting Optimizer,Churn,0
443,2024-01-17,USR_0499,Stakeholder Tool,Churn,0
444,2024-03-23,USR_0483,Analytics Dashboard,Adopt,0
